geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (-1.660570025 53.86589813),EGNM,large_airport,Leeds Bradford Airport,53.86589813,-1.660570025,681,Europe,GB,GB-ENG,Leeds,yes,EGNM,LBA,,1023
POINT (61.5564003 69.76329803),ULDD,medium_airport,Amderma Airport,69.76329803,61.5564003,13,Asia,RU,RU-NEN,Amderma,yes,ULDD,AMV,,1024
POINT (-2.977780104 53.17810059),EGNR,medium_airport,Hawarden Airport,53.17810059,-2.977780104,45,Europe,GB,GB-WLS,Hawarden,yes,EGNR,CEG,,1025
POINT (92.11250305 58.4742012),UNII,medium_airport,Yeniseysk Airport,58.4742012,92.11250305,253,Asia,RU,RU-KYA,Yeniseysk,yes,UNII,EIE,,1026
POINT (-1.691669941 55.03749847),EGNT,large_airport,Newcastle Airport,55.03749847,-1.691669941,266,Europe,GB,GB-ENG,Newcastle,yes,EGNT,NCL,,1027
POINT (93.01170349 60.37329865),UNIS,medium_airport,Severo-Eniseysk Airport,60.37329865,93.01170349,1706,Asia,RU,RU-KYA,Severo-Eniseysk,yes,UNIS,,,1028
POINT (-74.52400208 24.06329918),MYSM,medium_airport,San Salvador Airport,24.06329918,-74.52400208,24,North America,BS,BS-SR,San Salvador,yes,MYSM,ZSA,,1029
POINT (15.03341675 68.5788269),ENSK,medium_airport,Stokmarknes Skagen Airport,68.5788269,15.03341675,11,Europe,NO,NO-18,Hadsel,yes,ENSK,SKN,,1030
POINT (-1.429409981 54.50920105),EGNV,medium_airport,Durham Tees Valley Airport,54.50920105,-1.429409981,120,Europe,GB,GB-ENG,Durham,yes,EGNV,MME,,1031
POINT (-1.328060031 52.83110046),EGNX,large_airport,East Midlands Airport,52.83110046,-1.328060031,306,Europe,GB,GB-ENG,Nottingham,yes,EGNX,EMA,,1032
POINT (-4.535339832 53.24810028),EGOV,medium_airport,Anglesey Airport,53.24810028,-4.535339832,37,Europe,GB,GB-WLS,Angelsey,yes,EGOV,VLY,,1033
